iter	Passed	Remaining
0	142	142220
1	142	71235
2	143	47568
3	143	35724
4	143	28618
5	144	23880
6	144	20495
7	144	17957
8	145	15983
9	145	14402
10	145	13110
11	146	12036
12	146	11127
13	146	10347
14	147	9669
15	147	9077
16	147	8554
17	148	8088
18	148	7672
19	148	7296
20	149	6957
21	149	6649
22	149	6367
23	150	6109
24	150	5872
25	150	5652
26	151	5450
27	151	5262
28	151	5086
29	152	4923
30	152	4769
31	152	4626
32	153	4502
33	154	4376
34	154	4256
35	154	4143
36	155	4035
37	155	3934
38	155	3837
39	156	3749
40	156	3662
41	156	3580
42	157	3501
43	157	3425
44	158	3353
45	158	3284
46	158	3217
47	159	3154
48	159	3093
49	159	3034
50	160	2978
51	160	2924
52	160	2872
53	161	2822
54	161	2774
55	161	2727
56	162	2682
57	162	2639
58	162	2597
59	163	2556
60	163	2517
61	163	2478
62	164	2441
63	164	2406
64	164	2371
65	165	2337
66	165	2305
67	165	2273
68	166	2243
69	166	2214
70	166	2185
71	167	2157
72	167	2130
73	168	2103
74	168	2077
75	168	2052
76	169	2027
77	169	2003
78	169	1979
79	170	1956
80	170	1934
81	170	1912
82	171	1889
83	171	1868
84	171	1848
85	172	1828
86	172	1809
87	172	1790
88	173	1771
89	173	1753
90	173	1735
91	174	1718
92	174	1701
93	174	1684
94	175	1668
95	175	1652
96	175	1636
97	176	1621
98	176	1606
99	176	1591
100	177	1577
101	177	1563
102	177	1549
103	178	1535
104	178	1522
105	178	1508
106	179	1496
107	179	1483
108	179	1470
109	180	1458
110	180	1446
111	180	1434
112	181	1423
113	181	1412
114	182	1401
115	182	1390
116	182	1378
117	183	1368
118	183	1357
119	183	1347
120	184	1337
121	184	1326
122	184	1316
123	185	1307
124	185	1297
125	185	1288
126	185	1278
127	186	1269
128	186	1260
129	187	1251
130	187	1242
131	187	1234
132	188	1225
133	188	1217
134	188	1209
135	189	1201
136	189	1193
137	189	1185
138	190	1177
139	190	1169
140	190	1162
141	191	1154
142	191	1147
143	191	1139
144	192	1132
145	192	1125
146	192	1118
147	193	1111
148	193	1104
149	193	1098
150	194	1091
151	194	1085
152	194	1078
153	195	1072
154	195	1065
155	195	1059
156	196	1053
157	196	1047
158	196	1041
159	197	1035
160	197	1029
161	197	1023
162	198	1017
163	198	1011
164	198	1006
165	199	1000
166	199	995
167	199	989
168	200	984
169	200	978
170	200	973
171	201	968
172	201	963
173	201	958
174	202	953
175	202	948
176	202	943
177	203	938
178	203	933
179	203	928
180	204	924
181	204	919
182	204	914
183	205	910
184	205	905
185	205	901
